,Compound_ID,Molecular_Weight,LogP,H_Bond_Acceptors,H_Bond_Donors,Status
84,Drug_85,375.1293663908522,1.7855710920607395,3,3,Pass
85,Drug_86,464.56111448894166,1.52631843114841,13,4,Fail
86,Drug_87,739.6620176650906,2.469560601314198,14,4,Fail
87,Drug_88,331.2879272946433,1.408180713793013,10,5,Pass
88,Drug_89,458.2584387324085,5.876522283439074,14,1,Fail
89,Drug_90,754.7040308235352,5.096233959087982,11,6,Fail
90,Drug_91,604.023064366663,6.681481583725654,7,0,Fail
91,Drug_92,594.8465409381464,5.360131301355029,1,7,Fail
92,Drug_93,634.0124597673683,2.647210355786444,0,3,Fail
93,Drug_94,641.4128859666893,0.5553022473704559,1,5,Fail
94,Drug_95,774.6747273314851,5.401652493447344,5,6,Fail
95,Drug_96,467.36062153942737,4.323281152272493,5,1,Pass
96,Drug_97,280.1854458173593,0.5634518461082783,10,5,Pass
97,Drug_98,453.6836301542392,0.1451358742999673,8,2,Pass
98,Drug_99,559.5172522343299,6.548886355979036,2,4,Fail
99,Drug_100,523.9500709204361,2.5110010914905185,12,7,Fail
100,Drug_101,593.1357028011116,5.395938676504396,13,7,Fail
101,Drug_102,284.13761349749973,0.6616040413996931,13,7,Fail
102,Drug_103,732.5698794868017,5.931846991738457,8,5,Fail
103,Drug_104,619.8307727407902,2.4425433447807414,11,4,Fail
104,Drug_105,280.66788396986186,1.5317853464686166,8,6,Fail
105,Drug_106,477.7583325603209,3.5719368712313324,7,6,Fail
106,Drug_107,534.2932453892228,5.702693011119369,1,3,Fail
107,Drug_108,601.0547330334214,0.7765977022282975,7,5,Fail
108,Drug_109,452.09894849639545,-0.5489574515113214,7,3,Pass
109,Drug_110,281.6835434854784,5.2477399251874655,14,4,Fail
110,Drug_111,295.66004696573816,-0.9650435019653631,2,4,Pass
111,Drug_112,418.24836741548586,-0.4526393376902309,6,7,Fail
112,Drug_113,602.9441108317154,-0.0420529270584237,3,1,Fail
113,Drug_114,644.7544821847068,6.311092867335309,5,0,Fail
114,Drug_115,664.5970762079096,6.942704793743439,8,2,Fail
115,Drug_116,742.35102532075,2.827126253370846,3,5,Fail
116,Drug_117,579.9993274044219,4.913895485481677,10,3,Fail
117,Drug_118,585.2856343959577,2.091011119273636,10,7,Fail
118,Drug_119,325.16235075834595,2.3303458834694077,3,2,Pass
119,Drug_120,624.9021175639584,1.7601132222827331,9,2,Fail
120,Drug_121,743.7457974570831,4.969139739753081,9,4,Fail
121,Drug_122,385.8074689663544,6.785352147639265,9,6,Fail
122,Drug_123,521.0051681490769,5.761157140578264,11,6,Fail
123,Drug_124,210.7566611628111,2.568516247111095,11,3,Fail
124,Drug_125,257.0049909436636,1.7004911988793374,14,2,Fail
125,Drug_126,486.99008282723344,2.722930258362302,5,2,Pass
126,Drug_127,531.885137559546,6.0613519581918425,4,4,Fail
127,Drug_128,279.79297415432245,2.2804461515663768,0,0,Pass
128,Drug_129,269.33623161755173,1.3056410763826216,8,4,Pass
129,Drug_130,497.2484688976437,5.637777547323813,6,6,Fail
130,Drug_131,353.402453080935,2.228436184189542,5,5,Pass
131,Drug_132,259.7039170663493,2.8618508795216373,0,6,Fail
132,Drug_133,736.3071119618039,1.473818681538506,7,6,Fail
133,Drug_134,674.9296759176746,-0.9646819959531,7,1,Fail
134,Drug_135,569.3017346722404,2.8090242172302906,8,0,Fail
135,Drug_136,377.1522718428133,-0.8367595036827771,6,2,Pass
136,Drug_137,646.6633310150225,-0.0629859344729091,12,6,Fail
137,Drug_138,324.31635485972106,1.3993645293935115,11,2,Fail
138,Drug_139,465.3403628977274,-0.8956212983269358,3,6,Fail
139,Drug_140,340.60340781025616,0.5304660782801207,11,5,Fail
140,Drug_141,797.3148268009969,3.607697699321215,5,5,Fail
141,Drug_142,266.4087385033215,-0.7092307303820018,3,5,Pass
142,Drug_143,651.5556390587265,0.4382978260463641,9,2,Fail
143,Drug_144,468.3196602096872,3.8300783142229378,2,4,Pass
144,Drug_145,562.2124971505145,0.0675062044439869,11,2,Fail
145,Drug_146,724.1201469344621,2.520043164732779,3,3,Fail
146,Drug_147,251.04830895509508,1.619999614006316,13,5,Fail
147,Drug_148,651.4616459998767,3.795206136785096,8,5,Fail
148,Drug_149,532.8405636935097,6.742652453676416,9,0,Fail
149,Drug_150,254.21629947497715,-0.861972310811371,9,3,Pass
150,Drug_151,721.0679182458176,3.852454194319,13,1,Fail
151,Drug_152,638.7368130182529,3.419111315065156,9,6,Fail
152,Drug_153,367.947892371089,5.803338405237485,14,3,Fail
153,Drug_154,619.1506338546155,3.094998865132939,4,6,Fail
154,Drug_155,288.51915628146617,2.0921855922644044,3,2,Pass
155,Drug_156,276.2983878859316,3.8134306960898,6,1,Pass
156,Drug_157,319.142950804601,4.30441736572414,0,2,Pass
157,Drug_158,291.28901880728733,3.054959199815114,10,1,Pass
158,Drug_159,510.5243395084759,4.647568310948817,4,5,Fail
159,Drug_160,573.8660884558581,4.061249596132529,1,2,Fail
160,Drug_161,357.9131221303919,1.3987350656506363,11,3,Fail
161,Drug_162,550.3289052829127,-0.3151701305647876,4,4,Fail
162,Drug_163,766.2926617718965,3.29629635572872,4,2,Fail
163,Drug_164,624.0106307682566,-0.356379683861995,9,2,Fail
164,Drug_165,419.9489806884896,3.3957943822857786,13,6,Fail
165,Drug_166,271.9946622576808,-0.1022259243261753,7,4,Pass
166,Drug_167,251.75974381678023,-0.9377161135126642,5,1,Pass
167,Drug_168,786.8826363648839,6.907908463391183,3,0,Fail
168,Drug_169,331.35544091275887,1.938607563042666,12,1,Fail
169,Drug_170,323.86132420102564,1.6411423795346227,1,1,Pass
170,Drug_171,464.9685914633328,5.885842615451788,7,2,Fail
171,Drug_172,785.3711286655173,5.596287184259894,13,4,Fail
172,Drug_173,742.3263743152085,1.9325196953934745,14,5,Fail
173,Drug_174,294.9959473058998,6.535938931092422,2,7,Fail
174,Drug_175,749.1044579885643,6.229926909693844,2,1,Fail
175,Drug_176,747.7240919444258,2.164801574409553,11,2,Fail
176,Drug_177,477.4175409077746,6.860906547665325,10,3,Fail
177,Drug_178,669.0593248251084,3.9880720171439297,1,5,Fail
178,Drug_179,337.3307966101505,0.1543325879345305,1,4,Pass
179,Drug_180,246.6335905238038,5.335914335682016,0,7,Fail
180,Drug_181,574.489272806494,2.0626406658668675,10,0,Fail
181,Drug_182,485.7834092606111,4.410471065584081,12,1,Fail
182,Drug_183,388.4266203806069,5.4838496836390975,0,0,Fail
183,Drug_184,673.1462812676696,6.213947904218025,5,7,Fail
184,Drug_185,723.2727042299002,1.0693135379228336,11,5,Fail
185,Drug_186,457.4754990829245,3.291171933343973,4,2,Pass
186,Drug_187,374.2223496003188,0.4767113816632458,10,5,Pass
187,Drug_188,244.2950939529124,6.894160296494024,8,5,Fail
188,Drug_189,713.1345401203404,5.871050754267809,8,7,Fail
189,Drug_190,236.5032934789128,1.520263281338484,5,7,Fail
190,Drug_191,639.8514927377655,0.5008818362332725,2,4,Fail
191,Drug_192,338.77446846119926,1.7264629609200792,3,1,Pass
192,Drug_193,714.7724841044391,2.030251475541764,0,2,Fail
193,Drug_194,707.8491616452843,2.6285355677546374,14,2,Fail
194,Drug_195,351.47271360293064,-0.4810922037028593,10,7,Fail
195,Drug_196,690.2592621514219,4.815600221542151,12,1,Fail
196,Drug_197,635.8412857222133,3.2011336295612978,2,6,Fail
197,Drug_198,473.5293800371057,-0.0103882986521917,12,3,Fail
198,Drug_199,787.2383536785526,0.5679799136341579,13,2,Fail
199,Drug_200,417.4424169399652,3.706688430172685,6,0,Pass
200,Drug_201,206.92515595747687,-0.7177023862405347,9,6,Fail
201,Drug_202,437.5609384609954,6.057657395739079,1,1,Fail
202,Drug_203,537.9498800339154,6.1287888193091575,6,0,Fail
203,Drug_204,272.24431357283027,6.620747746645508,13,2,Fail
204,Drug_205,607.3643588537434,3.2767142101997084,11,3,Fail
205,Drug_206,505.3394718156839,5.525605483212874,5,0,Fail
206,Drug_207,753.6772173277054,1.0955509688791985,1,0,Fail
207,Drug_208,387.88135194927696,4.355534043960056,11,3,Fail
208,Drug_209,243.47660715780785,6.967730792146996,6,4,Fail
209,Drug_210,213.31933249858557,6.030686635423613,2,4,Fail
210,Drug_211,632.1428585361341,5.522020451621911,1,0,Fail
211,Drug_212,412.4634234976164,5.295590290015925,7,0,Fail
212,Drug_213,449.1354636403568,3.073664568993167,12,0,Fail
213,Drug_214,542.8670475937965,4.635760417177989,8,0,Fail
214,Drug_215,680.7361759591724,4.36085062096922,0,0,Fail
215,Drug_216,768.9200793906261,0.7831604814274078,11,4,Fail
216,Drug_217,757.138705561408,0.3669572014325055,6,5,Fail
217,Drug_218,410.018446912388,0.2074009609164173,11,2,Fail
218,Drug_219,219.75812869249117,0.7919035989189007,8,2,Pass
219,Drug_220,586.4148911006749,4.921493358187124,14,4,Fail
220,Drug_221,758.1869622110584,-0.5716398759234327,10,2,Fail
221,Drug_222,609.8608241262209,5.441963319618653,0,0,Fail
222,Drug_223,528.3606503371605,4.114928644752373,13,3,Fail
223,Drug_224,508.3956899352635,3.969145201899397,8,1,Fail
224,Drug_225,672.0006567557665,6.729849854290762,3,7,Fail
225,Drug_226,545.5013572948312,0.7545551072198577,6,5,Fail
226,Drug_227,366.9321633263099,-0.8982219788101604,9,6,Fail
227,Drug_228,688.4226078900955,2.147830740115107,5,0,Fail
228,Drug_229,660.7265178899708,6.089959589493572,0,1,Fail
229,Drug_230,427.49055415123104,6.613206834661162,13,6,Fail
230,Drug_231,655.8506503653992,1.16904918119668,3,5,Fail
231,Drug_232,355.0388111324912,2.649096053220882,9,2,Pass
232,Drug_233,648.723046879473,3.2341704014054637,10,7,Fail
233,Drug_234,375.3406746576067,0.6641908193857491,1,0,Pass
234,Drug_235,339.38713132634405,5.087118107604376,12,0,Fail
235,Drug_236,604.7139599476031,4.172833654940118,13,6,Fail
236,Drug_237,620.9689763724474,-0.7362321090286432,8,7,Fail
237,Drug_238,586.4616099277181,4.900896403876264,3,3,Fail
238,Drug_239,220.634062540419,0.613333902144535,11,5,Fail
239,Drug_240,672.5939450328345,3.6857236738892656,0,5,Fail
240,Drug_241,659.2373141153548,0.9650320606102624,1,7,Fail
241,Drug_242,333.3911809882785,2.274342856231274,9,0,Pass
242,Drug_243,573.4355042198763,3.12297254843744,9,7,Fail
243,Drug_244,401.158220766299,3.863170109527859,0,1,Pass
244,Drug_245,201.68036450782716,4.19994784828568,10,0,Pass
245,Drug_246,387.8025550804842,0.4536348898056417,3,3,Pass
246,Drug_247,543.7357202225571,0.9293737141246216,5,5,Fail
247,Drug_248,603.933022631234,6.796142808124516,2,7,Fail
248,Drug_249,296.74564490931937,0.9278132273218498,5,0,Pass
249,Drug_250,736.3205550956008,5.767069924911437,0,0,Fail
250,Drug_251,310.3881926280636,1.532302511448524,12,4,Fail
251,Drug_252,640.4491810802219,2.1020644854303114,1,3,Fail
252,Drug_253,531.2823321245893,4.406519912675394,0,2,Fail
253,Drug_254,354.6004403698164,6.26256512073855,1,0,Fail
254,Drug_255,348.0482453374067,2.618818525382185,6,6,Fail
255,Drug_256,572.6646714245038,2.621456895528672,3,0,Fail
256,Drug_257,746.7676710570958,2.083810079953957,1,5,Fail
257,Drug_258,351.03650395642944,2.1052067700837407,12,2,Fail
258,Drug_259,518.1617943210866,4.597528147322894,11,2,Fail
259,Drug_260,520.2367058316132,6.607711918679965,3,3,Fail
260,Drug_261,421.69147440856574,5.843432729536943,0,7,Fail
261,Drug_262,741.8077187729558,6.449635854721071,3,2,Fail
262,Drug_263,239.15651377294975,0.8172080236817445,10,7,Fail
263,Drug_264,236.57169157280916,4.141423302505385,11,5,Fail
264,Drug_265,592.1767146172749,5.48962725953964,14,3,Fail
265,Drug_266,413.194887768936,6.263737999778997,2,1,Fail
266,Drug_267,684.0579338545884,-0.7206264358171506,8,1,Fail
267,Drug_268,275.4436920665412,-0.3587504734556432,14,7,Fail
268,Drug_269,376.6284946754939,2.769877757377448,10,2,Pass
269,Drug_270,219.6835059939925,-0.5849859471430294,8,3,Pass
270,Drug_271,724.4695725521374,2.062929505687718,6,2,Fail
271,Drug_272,522.628616989048,4.245736109917732,12,6,Fail
272,Drug_273,574.1992181164367,0.0300390116519277,1,0,Fail
273,Drug_274,403.5585950209082,2.207833618298816,14,7,Fail
274,Drug_275,772.8659488427281,5.163843825041116,14,3,Fail
275,Drug_276,215.20688999641632,-0.3450765652527519,10,2,Pass
276,Drug_277,452.63930606957706,1.420130516506271,12,2,Fail
277,Drug_278,370.0865376250506,-0.5521702202463263,11,1,Fail
278,Drug_279,747.5270047336314,3.602358217331159,8,6,Fail
279,Drug_280,390.6918547131448,5.482918248030174,13,4,Fail
280,Drug_281,579.6210833031025,2.7085945798308506,5,5,Fail
281,Drug_282,347.6084038446211,2.770148305951418,9,2,Pass
282,Drug_283,620.203211729134,5.112605047912554,11,0,Fail
283,Drug_284,469.72519664839473,4.937226182100605,14,2,Fail
284,Drug_285,462.7486855855377,1.6037707102773844,1,5,Pass
285,Drug_286,313.1531764968249,3.167016806563232,1,1,Pass
286,Drug_287,206.4751197786577,2.870883403764603,11,2,Fail
287,Drug_288,581.9917942565095,5.144783741169824,9,6,Fail
288,Drug_289,339.8709740917901,1.773318289023364,14,4,Fail
289,Drug_290,232.56412189683465,0.9010898008306514,13,4,Fail
290,Drug_291,229.7048089011604,1.2365724927792066,4,1,Pass
291,Drug_292,685.62338398474,1.8460960379250555,6,5,Fail
292,Drug_293,509.449473381712,2.593086188215304,8,4,Fail
293,Drug_294,698.5465980844419,2.240816831932462,4,1,Fail
294,Drug_295,576.9455680010444,1.994354065914476,11,0,Fail
295,Drug_296,664.0511033001478,-0.8033984550042579,6,6,Fail
296,Drug_297,455.1441267273818,0.330328496477728,10,1,Pass
297,Drug_298,512.9715622849883,0.4622319878346728,2,0,Fail
298,Drug_299,475.42784062597866,2.266715393830876,2,7,Fail
299,Drug_300,561.4421705398688,5.609817316943671,11,3,Fail
300,Drug_301,243.12944476734947,0.4764866186870238,13,3,Fail
301,Drug_302,717.8612346363136,0.8961560301147165,6,7,Fail
302,Drug_303,714.2588108471662,6.449874220143167,3,3,Fail
303,Drug_304,505.43696543447805,4.53174396204903,4,6,Fail
304,Drug_305,314.2188957680071,5.1275401106133325,9,4,Fail
305,Drug_306,578.0379801057594,0.996578335052578,6,6,Fail
306,Drug_307,548.8321741656432,6.059084702050615,14,3,Fail
307,Drug_308,646.827387757995,5.494601424593997,7,1,Fail
308,Drug_309,798.2945734185379,2.621069044109155,11,2,Fail
309,Drug_310,775.0515477734958,6.44669638491658,4,1,Fail
310,Drug_311,741.9971474696446,6.021727822245007,14,2,Fail
311,Drug_312,343.2922885224474,3.5957211170547154,4,1,Pass
312,Drug_313,659.7823102812761,2.222542760100901,10,1,Fail
313,Drug_314,228.6425970981192,2.227297795986364,14,3,Fail
314,Drug_315,303.08437052581496,2.264399925783363,2,7,Fail
315,Drug_316,761.6542903066788,1.8362331621090453,9,2,Fail
316,Drug_317,262.98603606469834,1.6202464964718075,14,5,Fail
317,Drug_318,243.0411993417873,6.005160897065704,8,1,Fail
318,Drug_319,372.2814370312941,2.270885982066469,3,0,Pass
319,Drug_320,425.2761206105589,1.1218742207806152,6,7,Fail
320,Drug_321,722.2628320035843,-0.8949942811346343,11,1,Fail
321,Drug_322,408.2318871802216,4.119795514894714,6,4,Pass
322,Drug_323,718.0993822084455,1.3781506116626945,0,6,Fail
323,Drug_324,547.0693163234137,2.669478151554212,2,3,Fail
324,Drug_325,713.6517781867175,3.879353718055082,8,7,Fail
325,Drug_326,430.03131062934654,0.5385472563489753,10,4,Pass
326,Drug_327,337.83617636356934,5.864772864138737,5,3,Fail
327,Drug_328,307.95186420082337,4.966896376743722,13,5,Fail
328,Drug_329,263.7924230536905,2.4831254784910373,7,3,Pass
329,Drug_330,262.0188756377828,6.162169746569087,2,6,Fail
330,Drug_331,484.4845309430687,0.8141101017282182,4,5,Pass
331,Drug_332,350.75999254078334,4.110184262812192,5,5,Pass
332,Drug_333,719.3190144067132,-0.1855450618556249,12,5,Fail
333,Drug_334,625.7341755272207,5.020813681592378,9,3,Fail
334,Drug_335,684.1044263567321,5.0526107848531625,11,1,Fail
335,Drug_336,546.5727628326315,5.680399069800335,6,2,Fail
336,Drug_337,370.37682015523546,-0.8145108101440242,1,0,Pass
337,Drug_338,229.81939007795177,5.064835430125212,6,3,Fail
338,Drug_339,342.2854108370089,2.600187008204067,3,5,Pass
339,Drug_340,674.2960112338515,0.7164947820077776,5,4,Fail
340,Drug_341,390.7473274894327,3.253418264270943,14,4,Fail
341,Drug_342,715.9249223942115,0.0386700224043998,8,1,Fail
342,Drug_343,223.6842959645351,5.099919824266057,0,2,Fail
343,Drug_344,693.2248248567444,0.2215210594112191,4,5,Fail
344,Drug_345,643.8748663107216,-0.6702628873306544,3,3,Fail
345,Drug_346,205.082154483963,6.995564807905519,14,7,Fail
346,Drug_347,692.383305759985,5.440150389927482,11,3,Fail
347,Drug_348,421.3225082904082,5.286485553169795,2,0,Fail
348,Drug_349,611.6686235813469,1.2972728568043053,0,5,Fail
349,Drug_350,200.83449392177133,5.490873270034108,2,5,Fail
350,Drug_351,465.875481641057,5.754251268026183,10,3,Fail
351,Drug_352,256.7350862770742,1.869205879064692,11,2,Fail
352,Drug_353,470.2665267734589,4.954989572435124,2,7,Fail
353,Drug_354,260.4131986028315,1.251302376922533,12,5,Fail
354,Drug_355,250.3957238829478,-0.0057738946749754,9,5,Pass
355,Drug_356,568.5297494097038,-0.8935582895839627,1,4,Fail
356,Drug_357,351.97162455675414,0.3196021821126864,13,7,Fail
357,Drug_358,247.26187875469213,4.603834279178125,2,0,Pass
358,Drug_359,776.4979159756294,0.4035591024890772,1,7,Fail
359,Drug_360,372.78129854456506,1.1848868790667924,13,1,Fail
360,Drug_361,412.20200358690215,-0.2656932905164755,14,0,Fail
361,Drug_362,769.9435166565208,3.569098056561581,9,5,Fail
362,Drug_363,545.5597440745219,3.306099005311121,11,1,Fail
363,Drug_364,627.4011556749304,-0.3535187008207909,2,0,Fail
364,Drug_365,325.5231045162265,-0.610087813742032,3,0,Pass
365,Drug_366,668.3397892323394,2.470015173829114,14,5,Fail
366,Drug_367,251.75732540215984,2.080282218315,7,1,Pass
367,Drug_368,466.4252382808184,4.527032357676858,1,6,Fail
368,Drug_369,458.1637764380018,1.9227526437846447,2,7,Fail
369,Drug_370,262.93704190420306,6.096305522581844,2,6,Fail
370,Drug_371,390.96967307447215,1.5814718721093035,8,6,Fail
371,Drug_372,464.0906404029462,3.1865531962761877,3,3,Pass
372,Drug_373,782.7588378141838,-0.4970927343729672,2,5,Fail
373,Drug_374,418.08238564358953,-0.0391785523662173,7,7,Fail
374,Drug_375,560.7722768987453,0.6357462635391169,12,3,Fail
375,Drug_376,503.7189073111466,-0.4558373930639074,10,6,Fail
376,Drug_377,213.3000828570333,1.3927597970951,3,6,Fail
377,Drug_378,630.7435548311284,5.519582313303577,10,1,Fail
378,Drug_379,222.03502224684215,3.5857433856217837,8,1,Pass
379,Drug_380,433.4257628212866,-0.9856701376612024,8,1,Pass
380,Drug_381,631.5949609486104,6.315265392446411,6,7,Fail
381,Drug_382,565.8063904459274,0.6358341546674238,10,5,Fail
382,Drug_383,213.63043200234705,3.9338782686048654,12,2,Fail
383,Drug_384,409.5371114646299,5.69579764553976,5,2,Fail
384,Drug_385,478.25081332430784,-0.7064352288141178,14,1,Fail
385,Drug_386,630.7281156967047,2.90365481398354,2,2,Fail
386,Drug_387,294.4805500616337,3.6709484623213022,7,6,Fail
387,Drug_388,784.6364282682991,6.523809341947095,2,5,Fail
388,Drug_389,398.44748349066106,5.637842082660995,7,1,Fail
389,Drug_390,703.5666750693663,-0.0472219997725504,4,6,Fail
390,Drug_391,633.9807079898017,-0.7470681700786361,13,6,Fail
391,Drug_392,512.5930025198797,5.0142125151620025,5,7,Fail
392,Drug_393,409.9917590082242,0.5369150534635221,14,4,Fail
393,Drug_394,274.16464632806657,2.5736951965992807,0,7,Fail
394,Drug_395,392.3581652216725,6.797330130808474,8,0,Fail
395,Drug_396,509.1343223836319,-0.3960269548794635,5,6,Fail
396,Drug_397,427.81116828855806,2.350395085020409,6,2,Pass
397,Drug_398,760.2082859802982,0.6871230799966499,1,4,Fail
398,Drug_399,723.5331884531196,-0.8134645385627826,10,6,Fail
399,Drug_400,401.8051465853091,5.430355335952402,4,0,Fail
400,Drug_401,341.75891509143344,3.017343700934737,2,4,Pass
401,Drug_402,457.1521485652413,1.421492073913389,11,7,Fail
402,Drug_403,345.1468740787002,0.0953911994543847,10,2,Pass
403,Drug_404,754.0264898510576,4.351310345725059,2,0,Fail
404,Drug_405,779.0697706571367,1.8752288073729604,12,7,Fail
405,Drug_406,525.9808568455177,5.925108042163407,3,6,Fail
406,Drug_407,222.08683131839973,-0.301211825799939,1,3,Pass
407,Drug_408,427.6592361051136,-0.0620265165802198,13,0,Fail
408,Drug_409,279.0343591893731,4.746190642261253,11,3,Fail
409,Drug_410,200.21524629085872,1.3149721453709369,5,0,Pass
410,Drug_411,398.91814103604895,-0.1269232992051305,0,7,Fail
411,Drug_412,519.7985858493761,4.916323985169404,5,2,Fail
412,Drug_413,319.46879917483693,0.1811890121699217,8,2,Pass
413,Drug_414,587.7706630789683,4.533446705966596,0,7,Fail
414,Drug_415,463.6255478712153,4.478544234472532,6,6,Fail
415,Drug_416,638.6912836549542,3.34721946607582,6,7,Fail
416,Drug_417,565.5900968383748,2.7567231768012803,12,1,Fail
417,Drug_418,601.9343207688661,6.404106952089578,0,6,Fail
418,Drug_419,388.3986647894446,2.3917982867485508,6,7,Fail
419,Drug_420,725.1011442670044,3.390356852375401,8,7,Fail
420,Drug_421,428.55483676861456,3.639488735201465,1,7,Fail
421,Drug_422,528.4973282972826,4.967317549293864,14,7,Fail
422,Drug_423,386.2660927616967,-0.3312918633324369,9,7,Fail
423,Drug_424,362.1846351666157,-0.0525013769381166,8,1,Pass
424,Drug_425,566.464330351464,2.006123039146116,13,6,Fail
425,Drug_426,701.1922288621477,2.114819634378697,12,5,Fail
426,Drug_427,299.0213010710236,3.3989030208164506,14,6,Fail
